ID,知识点,题型,主观题类型,题干（前120字）,正确答案（前80字）,选项数量,难度
156,MM定理,subjective,calculate,"某集团公司计划通过发行负债回购部分普通股。因此，公司的负债权益比将由40%升至50%.公司目前发行在外的负债价值为430万美元。相应的债务资本成本为每年10%。息税前利润为168万美元，不考虑税收。
（1）该公司在回购宣告前和宣告后的市场价","（1）0.4/430=1.4/V
解得V=1505万美元
由于不考虑税收，发债回购对公司价值无影响。故回购后公司价值仍为1505万美元
（2）Rs=(168-4",0,1281
157,MM定理,subjective,calculate,某公司在考虑收购另一家公司，此收购为横向并购（假定目标公司和收购公司具有相同的风险水平）。目标公司的负债权益比为1:1，每年EBIT为500万元。收购公司的负债与权益市值比为3:7.假定收购公司收购了目标公司后，资本结构保持不变。无风险利率,"（1）因为所有债务都是无风险的，所以Rb=5%
Rs=5%+1.5*8%=17%
Rs=R0+(R0-Rb)*B/S=17%
解得R0=13.4%
目标公司权益",0,1283
77,MM定理II,subjective,calculate,12.如果WW公司是一家全权益公司，它的贝塔值将为1.1，公司目标负债权益比为0.40，市场组合的期望收益率为12%。公司发行在外的有一份半年计息债券，将在20年后到期，票面利率为8%。债券当前价格为975美元。国库券目前收益率为5%，公司,"（1）P=975=40*(P/A,r,40)+1000*(P/F,r,40)\nr=4.13%\nrb=2r=8.26%\n（2）r0=rf+β0*(rm-rf",0,1261
151,MM定理II,subjective,calculate,12.如果WW公司是一家全权益公司，它的贝塔值将为1.1，公司目标负债权益比为0.40，市场组合的期望收益率为12%。公司发行在外的有一份半年计息债券，将在20年后到期，票面利率为8%。债券当前价格为975美元。国库券目前收益率为5%，公司,"（1）P=975=40*(P/A,r,40)+1000*(P/F,r,40)
r=4.13%
rb=2r=8.26%
（2）r0=rf+β0*(rm-rf)=1",0,1261
84,MM理论,subjective,calculate,A公司与B公司除了资本结构以外的所有条件都完全一样。A公司是一家全权益公司，发行在外的股份数是10000股，目前每股价格为20美元。B公司在资本结构中运用了杠杆，其公司负债为50000美元，债务成本为12%。每家公司能预计永续获得55000,（1）Va=10000*20=200000美元\n（2）Vb=Va=200000美元\n（3）B=50000美元，S=200000-50000=150000美元,0,1269
155,MM理论,subjective,calculate,A公司与B公司除了资本结构以外的所有条件都完全一样。A公司是一家全权益公司，发行在外的股份数是10000股，目前每股价格为20美元。B公司在资本结构中运用了杠杆，其公司负债为50000美元，债务成本为12%。每家公司能预计永续获得55000,"（1）Va=10000*20=200000美元
（2）Vb=Va=200000美元
（3）B=50000美元，S=200000-50000=150000美元
（",0,1269
49,NPVGO,subjective,calculate,KS公司的股票当前售价为每股10美元，预计明年每股收益为2美元，公司有一项政策规定每年收益的50%用于分红，其余收益用于投资年收益率为20%的项目。上述情况的预期是不确定的。\n（1）假定KS公司利用固定增长的股利贴现模型估计出公司股票当前,（1）P0=10 E1=2 b=0.5 ROE=0.2\ng=b*ROE=10%\nr=D1/P0+g=2*50%/10+10%=20%\n（2）NPVGO=P,0,1233
55,NPVGO,subjective,calculate,市场普遍认为，KS公司的股东权益收益率为9%，β值为1.25，目前再投资比率为2/3，公司计划仍保持这一水平。今年的每股收益是3美元/股，刚刚支付完年终分红。市场上的绝大多数参与者都认为明年市场期望收益率为14%，国库券收益率为6%。\n（,（1）r=6%+1.25*(14%-6%)=16%\ng=b*ROE=2/3*9%=6%\nD1=3*(1+6%)*1/3=1.06美元\nP0=D1/(r-g,0,1239
56,NPVGO,subjective,calculate,预计F公司的股利每年约增长5%。请回答：\n（1）如果今年的年终分红是每股8美元，市场资本化率为每年10%，利用股利贴现模型计算当前公司股价。\n（2）如果每股期望收益为12美元，未来投资机会的隐含收益率是多少？\n（3）求未来增长机会的每,（1）g=5%  D1=8美元  r=10%\nP0=D1/(r-g)=8/(10%-5%)=160美元\n（2）d=8/12=2/3  b=1/3\ng=b*,0,1240
135,NPVGO,subjective,calculate,"KS公司的股票当前售价为每股10美元，预计明年每股收益为2美元，公司有一项政策规定每年收益的50%用于分红，其余收益用于投资年收益率为20%的项目。上述情况的预期是不确定的。
（1）假定KS公司利用固定增长的股利贴现模型估计出公司股票当前市","（1）P0=10 E1=2 b=0.5 ROE=0.2
g=b*ROE=10%
r=D1/P0+g=2*50%/10+10%=20%
（2）NPVGO=P0-E",0,1233
140,NPVGO,subjective,calculate,"市场普遍认为，KS公司的股东权益收益率为9%，β值为1.25，目前再投资比率为2/3，公司计划仍保持这一水平。今年的每股收益是3美元/股，刚刚支付完年终分红。市场上的绝大多数参与者都认为明年市场期望收益率为14%，国库券收益率为6%。
（1","（1）r=6%+1.25*(14%-6%)=16%
g=b*ROE=2/3*9%=6%
D1=3*(1+6%)*1/3=1.06美元
P0=D1/(r-g)=1",0,1239
141,NPVGO,subjective,calculate,"预计F公司的股利每年约增长5%。请回答：
（1）如果今年的年终分红是每股8美元，市场资本化率为每年10%，利用股利贴现模型计算当前公司股价。
（2）如果每股期望收益为12美元，未来投资机会的隐含收益率是多少？
（3）求未来增长机会的每股市值","（1）g=5%  D1=8美元  r=10%
P0=D1/(r-g)=8/(10%-5%)=160美元
（2）d=8/12=2/3  b=1/3
g=b*ROE",0,1240
58,OCF,subjective,calculate,Howell石油是一个与某集团公司现有业务相互补充的新业务。项目所需的机器设备耗资180万美元。未来四年中，市场部预测与该项目有关的销售额为110万美元，而后市场将不复存在。该机器在其4年的使用期限中将逐渐折旧至账面价值为0，采用直线折旧法,"OCF=EBIT(1-t)+D=69.375
NPV=-195+69.375*(P/A, 16%, 4)+15/1.16^4=7.408
应当进行该项目。

备",0,1242
59,OCF,subjective,calculate,HS公司正在考虑一项新的扩建项目，为期3年，需要的初始固定投资成本为270万元。固定资产折旧期限3年，按直线折旧法折旧至残值为0.该项目预计每年带来的销售总额为2080000元，总成本费用为77.5万元，若税率为35%，那么该项目的经营性现,"(2080000-775000)*(1-35%)+900000*0.35=1163250元

备注：此题为简单题，请使用至少四种求OCF的方法去求，并观察其结果",0,1243
68,OCF,subjective,calculate,HSC公司正在两套不同的输送带系统间进行选择。系统A耗资360000美元，使用期限为4年，每年税前运营成本为105000美元。系统B耗资480000美元，使用期限为6年，同时每年的税前运营成本为65000美元。两套系统都将在使用期限内折旧至,"OCFA=-105000*(1-34%)+34%*(360000/4)=-38700美元
NPVA=-360000-38700*(P/A,11%,4)=-480",0,1252
170,PCP,subjective,calculate,"5+103=C+100/1.05
C=15.262元","P+S-PV(D)=C+PV(K)
P+29-0.5/(1+10%*1/6)-0.5/(1+10%*5/12)=2+30*e^(-10%*1/2)
解得P=2.",0,1207
173,PCP,subjective,calculate,试证明无收益资产欧式看涨期权和看跌期权之间的平价关系。,"组合A：一份欧式看涨期权加上金额为Xe^(-r(T-t))的现金
组合B：—份有效期和执行价格与组合A 中看涨期权相同的欧式看跌期权加上一单位标的资产。
在期权",0,1305
78,Rwacc,subjective,calculate,HM公司为电视节目发行证券募集资金。项目成本为人民币1400万元，公司支付了人民币725000元的发行成本。另外，股票发行成本为募集资金的7%，而债务为3%，如果公司按它的目标资本结构来发行新的证券，那么该公司的目标负债权益比是多少？,"发行成本率=725000/(725000+14000000)=4.9236%
Ws*7%+Wb*3%=4.9236%     Ws+Wb=1
Ws=48.1% ",0,1262
226,业绩评价,subjective,calculate,在目前的股利收益以及预期的资本利得基础上，资产组合A与资产组合B的期望收益率分别为12%和16%。A的β值为0.7，B的β值为1.4，现行国库券利率为5%，标普500指数的期望收益率为13%。A的标准差每年为12%，B的标准差每年为31%，,"（1）两种资产组合的𝛼为：
𝛼A=12%-[5%+0.7*(13%-5%)]=1.4%
𝛼B=16%-[5%+1.4*(13%-5%)]=-0.2%
选择资产组",0,1353
227,业绩评价,subjective,calculate,"两个投资顾问在比较业绩，一个的平均收益率为19%，另一个为16%，然而前者的β为1.5，后者的β为1。
判断哪个投资者更适合选择个股（不考虑市场的整体趋势）。
如果短期国债利率为6%，而这一期间市场收益率为14%，那么哪个投资者挑选个股的能","要找出更擅长选择个股的投资者，先考虑他们的异常收益即事后的α
由于缺少市场利率和无风险利率的数值，所以无法计算α，也就没有办法判断哪个投资者更适合选择个股。
r",0,1354
34,久期,subjective,calculate,你管理一份价值100万美元的资产组合，你的目标麦考利久期为10年。这个资产组合可以从两种债券中选择：五年期零息债券和永久债券，当期收益率均为5%。\n（1）你愿意持有两种债券的份额各为多少？\n（2）如果到明年的时候目标久期为9年，则明年的,（1）永久债券的久期为1.05/0.05=21年\nw1*5+w2*21=10   w1+w2=1\n解得w1=11/16  w2=5/16\n（2）零息债券的,0,1220
122,久期,subjective,calculate,"你管理一份价值100万美元的资产组合，你的目标麦考利久期为10年。这个资产组合可以从两种债券中选择：五年期零息债券和永久债券，当期收益率均为5%。
（1）你愿意持有两种债券的份额各为多少？
（2）如果到明年的时候目标久期为9年，则明年的持有","（1）永久债券的久期为1.05/0.05=21年
w1*5+w2*21=10   w1+w2=1
解得w1=11/16  w2=5/16
（2）零息债券的久期为",0,1220
42,久期的计算,subjective,calculate,一保险公司必须向其客户付款。第一笔是一年后支付1000万美元，第二笔是五年后支付400万美元。收益率曲线水平在10%。\n如果公司想通过单一的一种零息债券来充分融资以豁免对该客户的债务责任，则他购买的债券期限是多少？\n零息债券的面值和市场,久期D=(1000/1.1*1+400/1.1^5*5)/1157=1.86年\n（2）零息债券市场价值与债务的市场价值相等为1157万美元\n面值为1157*,0,1226
